Assigned_Agent,Lead_ID_Fixed,Client_Name_Fixed,Company_Segment,City_Final,Status_Clean,Lead_Date_Final,Lead_Month_No,Lead_Month,Lead_Year,Lead_Quarter,Lead_Weekday_No,Lead_Weekday,Response_Time_Hours,Target_Sales,Interaction_Count_Final,Sales_Tier,Is_Converted,Is_Engaged,Stage_Order,Response_Speed_Cat,Response_Bucket_6H,Engagement_Level
Agent_A,CL-1185,Client_1185,A Regional Financial Institution,Shah Alam,NEW,12/12/2023,12,December,2023,Q4,2,Tuesday,40.9,2273.47,18,Medium,0,0,1,Delayed,36,High
Agent_D,CL-2445,Client_2445,A Private Manufacturing Enterprise,Penang,QUALIFIED,10/9/2024,10,October,2024,Q4,3,Wednesday,62.4,3979.72,37,High,0,1,3,Delayed,60,High
Agent_A,CL-2844,Client_2844,A Major Telecommunications Provider,Seremban,QUALIFIED,6/22/2024,6,June,2024,Q2,6,Saturday,54.8,3016.59,10,Medium,0,1,3,Delayed,54,High
Agent_A,CL-2472,Client_2472,A Government Service Provider,Kota Kinabalu,CONTACTED,2/8/2024,2,February,2024,Q1,4,Thursday,68.4,4721.15,9,High,0,1,2,Delayed,66,High
Agent_D,CL-1033,Client_1033,A Regional Financial Institution,Johor Bahru,NEW,9/5/2023,9,September,2023,Q3,2,Tuesday,28.6,1573.7,37,Low,0,0,1,Delayed,24,High
Agent_B,CL-1573,Client_1573,A Private Manufacturing Enterprise,Shah Alam,NEW,6/15/2023,6,June,2023,Q2,4,Thursday,26.3,2406.82,35,Medium,0,0,1,Delayed,24,High
Agent_D,CL-2966,Client_2966,A Private Manufacturing Enterprise,Kuala Lumpur,CONTACTED,10/1/2023,10,October,2023,Q4,7,Sunday,35,2829.99,19,Medium,0,1,2,Delayed,30,High
Agent_C,CL-2394,Client_2394,A Private Manufacturing Enterprise,Kota Kinabalu,QUALIFIED,3/12/2023,3,March,2023,Q1,7,Sunday,64.6,1795.24,29,Low,0,1,3,Delayed,60,High
Agent_C,CL-2422,Client_2422,A Regional Financial Institution,Putrajaya,LOST,4/8/2024,4,April,2024,Q2,1,Monday,14.4,1708.81,18,Low,0,0,5,Moderate,12,High
Agent_A,CL-1014,Client_1014,A Government Service Provider,Seremban,CONTACTED,11/16/2024,11,November,2024,Q4,6,Saturday,46.4,3502.64,12,Medium,0,1,2,Delayed,42,High
Agent_C,CL-0203,Client_203,A Private Manufacturing Enterprise,Petaling Jaya,CONTACTED,2/23/2023,2,February,2023,Q1,4,Thursday,34,1660.75,1,Low,0,1,2,Delayed,30,Low
Agent_D,CL-2903,Client_2903,A Leading Utility Company,Kuala Lumpur,CONTACTED,7/3/2024,7,July,2024,Q3,3,Wednesday,17.5,2399.64,48,Medium,0,1,2,Moderate,12,High
Agent_C,CL-2832,Client_2832,A Leading Utility Company,Klang,CONTACTED,9/26/2023,9,September,2023,Q3,2,Tuesday,61.1,4663.28,26,High,0,1,2,Delayed,60,High
Agent_A,CL-1544,Client_1544,A Regional Financial Institution,CyberJaya,NEW,8/31/2024,8,August,2024,Q3,6,Saturday,31.5,1184.3,33,Low,0,0,1,Delayed,30,High
Agent_D,CL-0857,Client_857,A Leading Utility Company,Klang,LOST,6/22/2024,6,June,2024,Q2,6,Saturday,33.6,3250.2,3,Medium,0,0,5,Delayed,30,Medium
Agent_A,CL-1537,Client_1537,A Leading Utility Company,Subang Jaya,CONTACTED,12/22/2023,12,December,2023,Q4,5,Friday,57.6,4161.12,29,High,0,1,2,Delayed,54,High
Agent_C,CL-0749,Client_749,A Private Manufacturing Enterprise,CyberJaya,CONTACTED,5/22/2024,5,May,2024,Q2,3,Wednesday,6.2,2663.26,9,Medium,0,1,2,Moderate,6,High
Agent_D,CL-0463,Client_463,A Leading Utility Company,Kuching,QUALIFIED,6/12/2024,6,June,2024,Q2,3,Wednesday,18.3,3262.22,48,Medium,0,1,3,Moderate,18,High
Agent_A,CL-1743,Client_1743,A Private Manufacturing Enterprise,Penang,QUALIFIED,1/12/2023,1,January,2023,Q1,4,Thursday,40,4363.7,11,High,0,1,3,Delayed,36,High
Agent_D,CL-0010,Client_010,A Leading Utility Company,Putrajaya,QUALIFIED,9/13/2024,9,September,2024,Q3,5,Friday,64.7,3789.54,9,Medium,0,1,3,Delayed,60,High
Agent_D,CL-0162,Client_162,A Regional Financial Institution,Putrajaya,CONVERTED,10/8/2024,10,October,2024,Q4,2,Tuesday,51.7,4889.42,7,High,1,1,4,Delayed,48,High
Agent_C,CL-0946,Client_946,A Regional Financial Institution,Kuching,LOST,1/18/2024,1,January,2024,Q1,4,Thursday,19.2,2034.67,8,Medium,0,0,5,Moderate,18,High
Agent_C,CL-0661,Client_661,A Private Manufacturing Enterprise,Klang,NEW,7/20/2023,7,July,2023,Q3,4,Thursday,48.9,2341.95,26,Medium,0,0,1,Delayed,48,High
Agent_D,CL-0650,Client_650,A Government Service Provider,Kuching,NEW,10/23/2023,10,October,2023,Q4,1,Monday,8.5,1635.16,14,Low,0,0,1,Moderate,6,High
Agent_C,CL-0822,Client_822,A Regional Financial Institution,Seremban,QUALIFIED,2/16/2024,2,February,2024,Q1,5,Friday,16.8,1372.23,40,Low,0,1,3,Moderate,12,High
Agent_B,CL-2251,Client_2251,A Major Telecommunications Provider,Petaling Jaya,NEW,6/17/2023,6,June,2023,Q2,6,Saturday,2.4,1104.89,35,Low,0,0,1,Fast,0,High
Agent_A,CL-1572,Client_1572,A Leading Utility Company,Kota Kinabalu,NEW,9/9/2023,9,September,2023,Q3,6,Saturday,67,3432.11,43,Medium,0,0,1,Delayed,66,High
Agent_B,CL-2773,Client_2773,A Private Manufacturing Enterprise,Klang,LOST,9/28/2024,9,September,2024,Q3,6,Saturday,2.4,4947.52,17,High,0,0,5,Fast,0,High
Agent_D,CL-2897,Client_2897,A Regional Financial Institution,Kota Kinabalu,CONTACTED,8/8/2023,8,August,2023,Q3,2,Tuesday,23.2,3321.74,8,Medium,0,1,2,Moderate,18,High
Agent_C,CL-2867,Client_2867,A Leading Utility Company,Shah Alam,CONTACTED,7/8/2024,7,July,2024,Q3,1,Monday,55.2,4178.08,22,High,0,1,2,Delayed,54,High
Agent_A,CL-2198,Client_2198,A Major Telecommunications Provider,CyberJaya,CONVERTED,10/13/2024,10,October,2024,Q4,7,Sunday,62.5,3857.12,5,Medium,1,1,4,Delayed,60,Medium
Agent_A,CL-0752,Client_752,A Private Manufacturing Enterprise,Johor Bahru,CONTACTED,2/16/2023,2,February,2023,Q1,4,Thursday,21.6,3943.41,49,Medium,0,1,2,Moderate,18,High
Agent_A,CL-1840,Client_1840,A Private Manufacturing Enterprise,Penang,CONTACTED,9/10/2023,9,September,2023,Q3,7,Sunday,45.9,1886.04,15,Low,0,1,2,Delayed,42,High
Agent_B,CL-1742,Client_1742,A Government Service Provider,Alor Setar,NEW,11/30/2023,11,November,2023,Q4,4,Thursday,69.6,2905.85,27,Medium,0,0,1,Delayed,66,High
Agent_C,CL-2549,Client_2549,A Leading Utility Company,Subang Jaya,NEW,6/20/2024,6,June,2024,Q2,4,Thursday,1.7,3593.33,3,Medium,0,0,1,Fast,0,Medium
Agent_D,CL-2909,Client_2909,A Private Manufacturing Enterprise,Kota Kinabalu,QUALIFIED,4/28/2023,4,April,2023,Q2,5,Friday,40,2647.98,36,Medium,0,1,3,Delayed,36,High
Agent_B,CL-1039,Client_1039,A Regional Financial Institution,Alor Setar,NEW,6/5/2023,6,June,2023,Q2,1,Monday,64.5,2595.93,N/A,Medium,0,0,1,Delayed,60,High
Agent_A,CL-2176,Client_2176,A Government Service Provider,Kuala Lumpur,LOST,6/29/2023,6,June,2023,Q2,4,Thursday,41,4417.33,23,High,0,0,5,Delayed,36,High
Agent_C,CL-0820,Client_820,A Leading Utility Company,Subang Jaya,QUALIFIED,8/4/2023,8,August,2023,Q3,5,Friday,70.2,1643.88,45,Low,0,1,3,Delayed,66,High
Agent_A,CL-1246,Client_1246,A Government Service Provider,Klang,NEW,4/10/2023,4,April,2023,Q2,1,Monday,23.7,4231.07,47,High,0,0,1,Moderate,18,High
Agent_A,CL-1595,Client_1595,A Regional Financial Institution,Shah Alam,NEW,11/9/2024,11,November,2024,Q4,6,Saturday,29.5,3866.84,45,Medium,0,0,1,Delayed,24,High
Agent_D,CL-2733,Client_2733,A Leading Utility Company,Shah Alam,CONVERTED,8/13/2024,8,August,2024,Q3,2,Tuesday,43.2,3514.27,21,Medium,1,1,4,Delayed,42,High
Agent_A,CL-1068,Client_1068,A Government Service Provider,Malaka,NEW,6/4/2024,6,June,2024,Q2,2,Tuesday,26.9,1625.1,47,Low,0,0,1,Delayed,24,High
Agent_A,CL-2705,Client_2705,A Regional Financial Institution,Subang Jaya,CONTACTED,9/25/2024,9,September,2024,Q3,3,Wednesday,4.5,4006.04,1,High,0,1,2,Fast,0,Low
Agent_D,CL-1243,Client_1243,A Regional Financial Institution,Petaling Jaya,LOST,7/16/2023,7,July,2023,Q3,7,Sunday,37.3,4890.01,4,High,0,0,5,Delayed,36,Medium
Agent_A,CL-2333,Client_2333,A Major Telecommunications Provider,Malaka,NEW,9/15/2023,9,September,2023,Q3,5,Friday,43,4825.78,49,High,0,0,1,Delayed,42,High
Agent_A,CL-0363,Client_363,A Regional Financial Institution,Shah Alam,NEW,2/11/2024,2,February,2024,Q1,7,Sunday,55.2,4911.46,39,High,0,0,1,Delayed,54,High
Agent_B,CL-2948,Client_2948,A Major Telecommunications Provider,Johor Bahru,NEW,12/21/2024,12,December,2024,Q4,6,Saturday,26.3,4695.73,5,High,0,0,1,Delayed,24,Medium
Agent_B,CL-0235,Client_235,A Government Service Provider,Putrajaya,LOST,5/15/2024,5,May,2024,Q2,3,Wednesday,71.3,1085.36,5,Low,0,0,5,Delayed,66,Medium
Agent_C,CL-2687,Client_2687,A Major Telecommunications Provider,Petaling Jaya,CONTACTED,7/4/2023,7,July,2023,Q3,2,Tuesday,25.1,2404.1,44,Medium,0,1,2,Delayed,24,High
Agent_A,CL-2352,Client_2352,A Private Manufacturing Enterprise,Petaling Jaya,QUALIFIED,2/12/2024,2,February,2024,Q1,1,Monday,34.3,4103.16,38,High,0,1,3,Delayed,30,High
Agent_A,CL-0652,Client_652,A Leading Utility Company,Kuala Lumpur,NEW,7/13/2023,7,July,2023,Q3,4,Thursday,60,2714.84,27,Medium,0,0,1,Delayed,60,High
Agent_D,CL-1757,Client_1757,A Leading Utility Company,Kuching,NEW,11/7/2024,11,November,2024,Q4,4,Thursday,55,3059.92,8,Medium,0,0,1,Delayed,54,High
Agent_B,CL-1665,Client_1665,A Regional Financial Institution,Malaka,NEW,2/22/2024,2,February,2024,Q1,4,Thursday,27,4205.75,7,High,0,0,1,Delayed,24,High
Agent_C,CL-2605,Client_2605,A Regional Financial Institution,Petaling Jaya,CONVERTED,9/25/2023,9,September,2023,Q3,1,Monday,65.4,3764.82,42,Medium,1,1,4,Delayed,60,High
Agent_B,CL-1059,Client_1059,A Regional Financial Institution,Alor Setar,NEW,9/23/2023,9,September,2023,Q3,6,Saturday,5.9,1292.68,25,Low,0,0,1,Fast,0,High
Agent_B,CL-0450,Client_450,A Private Manufacturing Enterprise,Kuching,CONTACTED,7/30/2023,7,July,2023,Q3,7,Sunday,11,1781.8,17,Low,0,1,2,Moderate,6,High
Agent_D,CL-1422,Client_1422,A Major Telecommunications Provider,CyberJaya,NEW,10/16/2023,10,October,2023,Q4,1,Monday,35,3284.07,N/A,Medium,0,0,1,Delayed,30,High
Agent_C,CL-1578,Client_1578,A Major Telecommunications Provider,Klang,CONVERTED,1/31/2023,1,January,2023,Q1,2,Tuesday,54.6,1812.01,50,Low,1,1,4,Delayed,54,High
Agent_B,CL-2838,Client_2838,A Leading Utility Company,Ipoh,NEW,8/14/2024,8,August,2024,Q3,3,Wednesday,15.3,2096.24,47,Medium,0,0,1,Moderate,12,High
Agent_D,CL-2646,Client_2646,A Major Telecommunications Provider,Subang Jaya,LOST,8/24/2023,8,August,2023,Q3,4,Thursday,16.3,3956.47,6,High,0,0,5,Moderate,12,High
Agent_D,CL-1375,Client_1375,A Private Manufacturing Enterprise,Kuala Lumpur,CONTACTED,6/4/2024,6,June,2024,Q2,2,Tuesday,50.5,4438.34,12,High,0,1,2,Delayed,48,High
